id,title,description,image_link,link,product_type,brand,price,availability,item_group_id,checkout_url,additional_image_link,sale_price_effective_date,sale_price,condition,visibility,default_product,variant
wc_post_id_984,"Village","High resolution 90x60 cm format. Frame included.",https://art-supreme.com/wp-content/uploads/2020/09/villageforpublish.jpg,https://art-supreme.com/product/village/,"Style Transfer","ART SUPREME",250EUR,in stock,wc_post_id_984,https://art-supreme.com/cart/?add-to-cart=984,,1970-01-29T00:00+00:00/2038-01-17T23:59+00:00,210EUR,new,published,,
wc_post_id_981,"Canyon","High resolution 60x90 cm format. Frame included.",https://art-supreme.com/wp-content/uploads/2020/09/canyon_for_post.jpg,https://art-supreme.com/product/canyon/,"Style Transfer","ART SUPREME",250EUR,in stock,wc_post_id_981,https://art-supreme.com/cart/?add-to-cart=981,,1970-01-29T00:00+00:00/2038-01-17T23:59+00:00,210EUR,new,published,,
wc_post_id_978,"Splash","High resolution 90x120 cm format. Frame included.",https://art-supreme.com/wp-content/uploads/2020/04/SplashBVI.png,https://art-supreme.com/product/splash/,"Style Transfer","ART SUPREME",600EUR,in stock,wc_post_id_978,https://art-supreme.com/cart/?add-to-cart=978,,1970-01-29T00:00+00:00/2038-01-17T23:59+00:00,520EUR,new,published,,
wc_post_id_975,"Colmar","Frame is included",https://art-supreme.com/wp-content/uploads/2020/04/colmarArt1Final.jpg,https://art-supreme.com/product/colmar/,"Style Transfer","ART SUPREME",430EUR,in stock,wc_post_id_975,https://art-supreme.com/cart/?add-to-cart=975,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,430EUR,new,published,,
wc_post_id_972,"Bullion","Bullion",https://art-supreme.com/wp-content/uploads/2020/04/bullionInsta.jpg,https://art-supreme.com/product/bullion/,"Style Transfer","ART SUPREME",520EUR,in stock,wc_post_id_972,https://art-supreme.com/cart/?add-to-cart=972,,1970-01-29T00:00+00:00/2038-01-17T23:59+00:00,420EUR,new,published,,
wc_post_id_969,"Stir","Stir",https://art-supreme.com/wp-content/uploads/2020/04/Stir.jpg,https://art-supreme.com/product/stir/,"Style Transfer","ART SUPREME",310EUR,in stock,wc_post_id_969,https://art-supreme.com/cart/?add-to-cart=969,,1970-01-29T00:00+00:00/2038-01-17T23:59+00:00,220EUR,new,published,,
wc_post_id_966,"Fifth Element","Fifth Element",https://art-supreme.com/wp-content/uploads/2020/04/FifthElementInstagram.jpg,https://art-supreme.com/product/fifth-element/,"Style Transfer","ART SUPREME",310EUR,in stock,wc_post_id_966,https://art-supreme.com/cart/?add-to-cart=966,,1970-01-29T00:00+00:00/2038-01-17T23:59+00:00,260EUR,new,published,,
wc_post_id_961,"Aztlan","Aztlan",https://art-supreme.com/wp-content/uploads/2020/03/Aztlan.jpg,https://art-supreme.com/product/aztlan/,"Style Transfer","ART SUPREME",180EUR,in stock,wc_post_id_961,https://art-supreme.com/cart/?add-to-cart=961,,1970-01-29T00:00+00:00/2038-01-17T23:59+00:00,140EUR,new,published,,
NP-73253-92_581,"Perceptive Meadow [SOLD]","The work fascinates by the essential unreality of the mind. What starts out as vision soon becomes manipulated into a carnival of colours, leaving only a sense of what could have been and the likelihood of a new understanding.",https://art-supreme.com/wp-content/uploads/2016/07/Percetive-Meadow-wall-v2.jpg,https://art-supreme.com/product/perceptive-meadow/,"GAN","ART SUPREME",160EUR,out of stock,NP-73253-92_581,https://art-supreme.com/cart/?add-to-cart=581,"https://art-supreme.com/wp-content/uploads/2016/07/Percetive-Meadow-wall-v3.jpg,https://art-supreme.com/wp-content/uploads/2016/07/Percetive-Meadow-wall-v1.jpg,https://art-supreme.com/wp-content/uploads/2016/07/Percetive-Meadow-wall-v5.jpg",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,160EUR,new,published,,
NP-73253-82_580,"Eccentric Credence","This work is a unique, representational wrap of possibilities that reflect viewers’ own attention mechanism. It is a contrasting consequence that AI approximation of the real world representation can often bring with a dose of multi-channel bias which may or may not be the reminiscent of an unpredictable and turbulent world.",https://art-supreme.com/wp-content/uploads/2016/07/eccentric-credence-wall-1.jpg,https://art-supreme.com/product/eccentric-credence/,"Style Transfer","ART SUPREME",320EUR,in stock,NP-73253-82_580,https://art-supreme.com/cart/?add-to-cart=580,"https://art-supreme.com/wp-content/uploads/2016/07/eccentric-credence-wall-4.jpg,https://art-supreme.com/wp-content/uploads/2016/07/eccentric-credence-wall-3.jpg,https://art-supreme.com/wp-content/uploads/2016/07/eccentric-credence-wall-2.jpg",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,320EUR,new,published,,
NP-73253-72_579,"Summer Dream","This work is an expressionist, decorative elevated platform consisting of lake and sky which is unreminiscent of high-tech gloss and interactivity. 
The work suggests contemporary life, culture, and science as a continually deferred relationship.",https://art-supreme.com/wp-content/uploads/2016/07/summer-dream-wall5.jpg,https://art-supreme.com/product/summer-dream/,"Style Transfer","ART SUPREME",180EUR,in stock,NP-73253-72_579,https://art-supreme.com/cart/?add-to-cart=579,"https://art-supreme.com/wp-content/uploads/2016/07/summer-dream-wall2.jpg,https://art-supreme.com/wp-content/uploads/2016/07/summer-dream-wall4.jpg,https://art-supreme.com/wp-content/uploads/2016/07/summer-dream-wall3.jpg",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,180EUR,new,published,,
NP-73253-62_578,"Swirl Dance","This work is an  illusionistic, sectional & visceral exploration of poses which is reminiscent of narratives of identity, mortality, loss and love. 
The work explores the boundaries between the past and present by using allegory as a form of live-action or real-time role-play.",https://art-supreme.com/wp-content/uploads/2016/07/swirl-dance-home3.jpg,https://art-supreme.com/product/swirl-dance/,"GAN","ART SUPREME",430EUR,in stock,NP-73253-62_578,https://art-supreme.com/cart/?add-to-cart=578,"https://art-supreme.com/wp-content/uploads/2016/07/swirl-dance-home2.jpg,https://art-supreme.com/wp-content/uploads/2016/07/swirl-dance-home4.jpg,https://art-supreme.com/wp-content/uploads/2016/07/swirl-dance-home5.jpg",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,430EUR,new,published,,
